22	22	114
1	2
1	4
1	8
1	9
1	13
1	17
1	18
1	21
2	1
2	9
2	11
2	21
3	12
4	1
4	6
4	7
4	10
4	12
4	14
4	20
5	11
5	12
5	16
5	22
6	4
6	7
6	12
6	15
6	18
6	22
7	4
7	6
7	10
7	22
8	1
8	10
8	17
8	18
8	19
8	20
8	22
9	1
9	2
9	13
9	16
9	18
9	19
9	20
10	4
10	7
10	8
10	11
10	19
10	21
10	22
11	2
11	5
11	10
11	12
11	20
12	3
12	4
12	5
12	6
12	11
12	14
12	16
13	1
13	9
13	21
14	4
14	12
14	17
14	18
15	6
15	16
15	19
15	22
16	5
16	9
16	12
16	15
16	22
17	1
17	8
17	14
17	19
17	21
18	1
18	6
18	8
18	9
18	14
19	8
19	9
19	10
19	15
19	17
20	4
20	8
20	9
20	11
21	1
21	2
21	10
21	13
21	17
22	5
22	6
22	7
22	8
22	10
22	15
22	16
