22	22	134
1	5
1	10
1	11
1	12
1	13
2	3
2	4
2	13
2	15
2	16
2	19
3	2
3	6
3	10
3	11
3	16
3	17
3	18
4	2
4	6
4	9
4	13
4	16
4	19
4	22
5	1
5	7
5	8
5	11
5	12
5	13
5	17
5	18
6	3
6	4
6	11
6	12
6	17
6	18
6	19
6	22
7	5
7	12
7	13
7	21
8	5
8	12
8	15
8	19
9	4
9	10
9	13
10	1
10	3
10	9
10	15
10	16
10	18
10	20
10	21
11	1
11	3
11	5
11	6
11	14
11	15
11	19
12	1
12	5
12	6
12	7
12	8
12	15
12	18
12	20
13	1
13	2
13	4
13	5
13	7
13	9
13	15
14	11
14	15
14	16
14	19
14	20
15	2
15	8
15	10
15	11
15	12
15	13
15	14
15	19
15	21
15	22
16	2
16	3
16	4
16	10
16	14
16	18
16	20
17	3
17	5
17	6
18	3
18	5
18	6
18	10
18	12
18	16
18	19
19	2
19	4
19	6
19	8
19	11
19	14
19	15
19	18
19	22
20	10
20	12
20	14
20	16
21	7
21	10
21	15
22	4
22	6
22	15
22	19
