23	23	118
1	13
1	20
1	21
1	23
2	6
2	7
2	10
2	12
3	4
3	7
3	11
3	15
3	17
3	18
4	3
4	17
5	14
5	16
5	21
6	2
6	13
6	16
6	19
6	21
6	22
7	2
7	3
7	12
7	17
7	19
8	10
8	13
8	18
8	22
9	10
9	11
9	14
9	15
10	2
10	8
10	9
10	17
10	18
10	22
11	3
11	9
11	18
12	2
12	7
12	14
12	19
12	20
12	21
12	23
13	1
13	6
13	8
13	15
13	18
14	5
14	9
14	12
14	15
14	18
14	19
14	22
15	3
15	9
15	13
15	14
15	16
15	17
15	23
16	5
16	6
16	15
16	23
17	3
17	4
17	7
17	10
17	15
17	19
17	20
17	23
18	3
18	8
18	10
18	11
18	13
18	14
18	23
19	6
19	7
19	12
19	14
19	17
19	21
20	1
20	12
20	17
20	22
21	1
21	5
21	6
21	12
21	19
22	6
22	8
22	10
22	14
22	20
23	1
23	12
23	15
23	16
23	17
23	18
