20	20	98
1	6
1	9
1	13
1	17
2	3
2	5
2	12
2	15
2	16
2	20
3	2
3	4
3	7
3	10
3	12
3	16
3	18
4	3
4	7
4	16
4	19
4	20
5	2
5	6
5	9
5	10
5	11
5	16
6	1
6	5
6	9
6	16
6	20
7	3
7	4
7	9
7	16
7	18
7	20
8	16
8	20
9	1
9	5
9	6
9	7
9	14
9	15
9	18
10	3
10	5
10	14
11	5
11	12
11	15
12	2
12	3
12	11
12	19
13	1
13	14
13	18
13	19
14	9
14	10
14	13
14	17
15	2
15	9
15	11
15	19
16	2
16	3
16	4
16	5
16	6
16	7
16	8
16	17
17	1
17	14
17	16
17	18
17	19
18	3
18	7
18	9
18	13
18	17
19	4
19	12
19	13
19	15
19	17
20	2
20	4
20	6
20	7
20	8
